Species,Method,Abundance,F,CV,Error_para,Scenario
Short-lived,LBSPR,-0.466327786,0.819706179,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.237544755,0.566396744,High,M,High CV*Equilibrium
Short-lived,LBSPR,0.004284762,0.296322648,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.371489936,0.71409079,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.245431222,0.577121877,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.358923186,0.698895111,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.680855733,1.0698114,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.450449144,0.795820879,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.445325476,0.7901069,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.36035476,0.696041615,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.061817013,0.377968553,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.148401067,0.466189192,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.387144463,0.731078062,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.40974734,0.750235686,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.165487887,0.493104717,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.201715669,0.526618312,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.518517922,0.876445698,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.52319901,0.87963726,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.251312667,0.578945383,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.147062397,0.468106588,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.373858529,0.719131706,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.118034639,0.442240619,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.24268077,0.569829225,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.499625406,0.853994764,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.257430265,0.591999864,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.624194197,0.99974587,High,M,High CV*Equilibrium
Short-lived,LBSPR,0.02312245,0.286933964,High,M,High CV*Equilibrium
Short-lived,LBSPR,0.160110296,0.13443574,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.438437602,0.787969038,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.574458833,0.631475624,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.1983625,0.519488333,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.379678541,0.717052841,High,M,High CV*Equilibrium
Short-lived,LBSPR,0.262816376,0.008298186,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.355186919,0.69609818,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.167373609,0.490428436,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.33792624,0.677954676,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.531875633,0.886553262,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.296681935,0.62552412,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.772457962,1.183295292,High,M,High CV*Equilibrium
Short-lived,LBSPR,0.03126581,0.265584532,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.305776532,0.641961482,High,M,High CV*Equilibrium
Short-lived,LBSPR,0.2072139,0.071753225,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.222684721,0.554560571,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.5237001,0.87788258,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.187718111,0.510687201,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.578044329,0.943407442,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.652890741,1.030637056,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.270247495,0.604619088,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.457563825,0.805628454,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.344829617,0.685465441,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.326129125,0.658292219,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.494022394,0.843484227,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.488897419,0.840134437,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.379658329,0.716986263,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.041802744,0.359739662,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.713178034,1.107985905,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.19209456,0.516589918,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.259573128,0.58846041,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.071268444,0.380294369,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.422575219,0.768906507,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.249922931,0.581266822,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.27651612,0.605144787,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.482343991,0.831252838,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.032765753,0.340200674,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.046341102,0.354409599,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.164691333,0.481645212,High,M,High CV*Equilibrium
Short-lived,LBSPR,0.061882781,0.235779687,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.201244805,0.527333832,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.658138493,1.04050637,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.489947411,0.845740378,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.646277194,1.02587074,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.465155225,0.813754165,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.146238178,0.193039539,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.389624023,0.831420345,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.057919673,0.025595393,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.612406683,1.930272551,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.4214554,0.936072936,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.064763529,0.036060652,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.453036301,1.061656045,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.497729975,1.260495968,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.469538494,1.134912859,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.258706515,0.444205757,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.603278736,1.867480997,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.433873872,0.988399231,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.148416894,0.193039539,High,K,High CV*Equilibrium
Short-lived,LBSPR,1.000001018,-1,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.555647408,1.563988482,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.333445574,0.643045681,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.341011336,0.674441458,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.530019775,1.427940114,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.511191231,1.323287523,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.47279997,1.145378118,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.526289237,1.407009596,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.504918484,1.291891745,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.36383279,0.737233013,High,K,High CV*Equilibrium
Short-lived,LBSPR,0.81308212,-0.88488215,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.477335214,1.166308636,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.330590089,0.643045681,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.303146737,0.559323608,High,K,High CV*Equilibrium
Short-lived,LBSPR,0.317719161,-0.476737044,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.201296414,0.308157389,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.439551422,1.009329749,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.585502659,1.752363146,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.31795235,0.601184644,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.433448977,0.988399231,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.331099533,0.643045681,High,K,High CV*Equilibrium
Short-lived,LBSPR,0.249449625,-0.403480231,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.223022898,0.360483685,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.23006831,0.370948944,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.329637412,0.632580421,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.552282387,1.543057964,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.501831603,1.281426486,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.300717621,0.548858349,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.274706659,0.486066794,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.490782573,1.229100191,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.465994909,1.1244476,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.121398185,0.140713243,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.113677572,0.130247984,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.428745242,0.967468713,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.502773403,1.281426486,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.315410322,0.590719385,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.520489134,1.375613818,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.435595792,0.99886449,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.152001007,0.203504798,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.423904127,0.946538195,High,K,High CV*Equilibrium
Short-lived,LBSPR,0.092362226,-0.204640308,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.563542295,1.312822264,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.650290903,2.233765065,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.238923025,0.391879462,High,K,High CV*Equilibrium
Short-lived,LBSPR,0.045216225,-0.141848753,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.468399719,1.1244476,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.308982484,0.580254126,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.685058076,2.568653357,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.334990627,0.65351094,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.489542174,1.218634932,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.352264946,0.705837235,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.098663052,0.098852207,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.390757871,0.831420345,High,K,High CV*Equilibrium
Short-lived,LBSPR,0.610990086,-0.738368522,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.567707764,1.333752782,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.382540044,0.800024567,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.666902545,2.380278693,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.450746435,1.051190786,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.112627003,0.130247984,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.475801815,1.166308636,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.011444417,-0.047661421,High,K,High CV*Equilibrium
Short-lived,LBSPR,0.167081094,-0.29882764,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.413441296,0.915142417,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.213432237,0.339553166,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.345482983,0.684906717,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.363734909,0.737233013,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.160582413,0.224435316,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.168465153,0.234900575,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.308970596,0.580254126,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.562722769,1.605849519,High,K,High CV*Equilibrium
Short-lived,LBSPR,0.35866991,-0.518598081,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.47280248,1.145378118,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.42227874,0.946538195,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.547191654,1.511662187,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.259055146,0.444205757,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.429838842,0.977933972,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.408151508,0.894211899,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.178177055,0.255831093,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.566604094,1.626780037,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.560413688,1.59538426,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.491355746,1.229100191,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.611475022,1.930272551,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.466400815,1.1244476,High,K,High CV*Equilibrium
Short-lived,LBSPR,0.181868646,-0.319758158,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.166721625,0.234900575,High,K,High CV*Equilibrium
Short-lived,LBSPR,0.149137322,-0.277897121,High,K,High CV*Equilibrium
Short-lived,LBSPR,-0.203014772,0.308157389,High,K,High CV*Equilibrium
Short-lived,LBB,-0.273410587,-0.331696402,High,M,High CV*Equilibrium
Short-lived,LBB,0.085418809,-0.58992089,High,M,High CV*Equilibrium
Short-lived,LBB,-0.355562567,-0.268915589,High,M,High CV*Equilibrium
Short-lived,LBB,0.640129448,-0.919241769,High,M,High CV*Equilibrium
Short-lived,LBB,0.162926182,-0.635850082,High,M,High CV*Equilibrium
Short-lived,LBB,-0.349466232,-0.284796782,High,M,High CV*Equilibrium
Short-lived,LBB,0.230382012,-0.683746324,High,M,High CV*Equilibrium
Short-lived,LBB,0.365090614,-0.766239691,High,M,High CV*Equilibrium
Short-lived,LBB,0.318210633,-0.740978648,High,M,High CV*Equilibrium
Short-lived,LBB,-0.138067375,-0.435978375,High,M,High CV*Equilibrium
Short-lived,LBB,0.634309181,-0.916808862,High,M,High CV*Equilibrium
Short-lived,LBB,0.191754024,-0.654665687,High,M,High CV*Equilibrium
Short-lived,LBB,-0.256960671,-0.355496548,High,M,High CV*Equilibrium
Short-lived,LBB,-0.824224343,0.257854537,High,M,High CV*Equilibrium
Short-lived,LBB,0.535840287,-0.863664427,High,M,High CV*Equilibrium
Short-lived,LBB,-0.028961483,-0.501256628,High,M,High CV*Equilibrium
Short-lived,LBB,-0.020991873,-0.508154358,High,M,High CV*Equilibrium
Short-lived,LBB,0.464685267,-0.821954853,High,M,High CV*Equilibrium
Short-lived,LBB,0.407765758,-0.788090099,High,M,High CV*Equilibrium
Short-lived,LBB,0.315122455,-0.736357317,High,M,High CV*Equilibrium
Short-lived,LBB,0.450638502,-0.813818381,High,M,High CV*Equilibrium
Short-lived,LBB,0.381932195,-0.774392227,High,M,High CV*Equilibrium
Short-lived,LBB,0.033090348,-0.553801182,High,M,High CV*Equilibrium
Short-lived,LBB,-0.75911266,0.136027579,High,M,High CV*Equilibrium
Short-lived,LBB,0.299529279,-0.724304148,High,M,High CV*Equilibrium
Short-lived,LBB,-0.005340921,-0.534437239,High,M,High CV*Equilibrium
Short-lived,LBB,-0.065857814,-0.486566598,High,M,High CV*Equilibrium
Short-lived,LBB,-0.606181347,-0.038988813,High,M,High CV*Equilibrium
Short-lived,LBB,-0.181825837,-0.420186889,High,M,High CV*Equilibrium
Short-lived,LBB,0.235547178,-0.690400946,High,M,High CV*Equilibrium
Short-lived,LBB,0.600377747,-0.8996264,High,M,High CV*Equilibrium
Short-lived,LBB,-0.052776457,-0.491994557,High,M,High CV*Equilibrium
Short-lived,LBB,0.185575994,-0.649911462,High,M,High CV*Equilibrium
Short-lived,LBB,-0.022325827,-0.518811558,High,M,High CV*Equilibrium
Short-lived,LBB,-0.561438242,-0.104683539,High,M,High CV*Equilibrium
Short-lived,LBB,-0.132662724,-0.462619649,High,M,High CV*Equilibrium
Short-lived,LBB,-0.108119668,-0.484150693,High,M,High CV*Equilibrium
Short-lived,LBB,-0.023925701,-0.518315123,High,M,High CV*Equilibrium
Short-lived,LBB,0.514511655,-0.850473096,High,M,High CV*Equilibrium
Short-lived,LBB,0.379029149,-0.772523664,High,M,High CV*Equilibrium
Short-lived,LBB,-0.07543945,-0.477281013,High,M,High CV*Equilibrium
Short-lived,LBB,-0.106908594,-0.462367861,High,M,High CV*Equilibrium
Short-lived,LBB,0.357749731,-0.760666117,High,M,High CV*Equilibrium
Short-lived,LBB,0.272785286,-0.707233645,High,M,High CV*Equilibrium
Short-lived,LBB,-0.301311918,-0.32118163,High,M,High CV*Equilibrium
Short-lived,LBB,-0.306245486,-0.308442075,High,M,High CV*Equilibrium
Short-lived,LBB,0.186579156,-0.653120341,High,M,High CV*Equilibrium
Short-lived,LBB,0.393513094,-0.783566645,High,M,High CV*Equilibrium
Short-lived,LBB,-0.050535745,-0.492288557,High,M,High CV*Equilibrium
Short-lived,LBB,0.435345147,-0.804864594,High,M,High CV*Equilibrium
Short-lived,LBB,0.191473624,-0.654563727,High,M,High CV*Equilibrium
Short-lived,LBB,-0.261588524,-0.349835629,High,M,High CV*Equilibrium
Short-lived,LBB,0.176607279,-0.651172911,High,M,High CV*Equilibrium
Short-lived,LBB,-0.485341069,-0.15396284,High,M,High CV*Equilibrium
Short-lived,LBB,0.6173857,-0.907997752,High,M,High CV*Equilibrium
Short-lived,LBB,0.675989778,-0.937990955,High,M,High CV*Equilibrium
Short-lived,LBB,0.769940026,-0.999488197,High,M,High CV*Equilibrium
Short-lived,LBB,-0.451501714,-0.187251205,High,M,High CV*Equilibrium
Short-lived,LBB,0.282669461,-0.714950595,High,M,High CV*Equilibrium
Short-lived,LBB,-0.074917465,-0.474610434,High,M,High CV*Equilibrium
Short-lived,LBB,0.704787021,-0.953577852,High,M,High CV*Equilibrium
Short-lived,LBB,-0.028621691,-0.506955388,High,M,High CV*Equilibrium
Short-lived,LBB,0.3482544,-0.753697377,High,M,High CV*Equilibrium
Short-lived,LBB,0.012534718,-0.538388756,High,M,High CV*Equilibrium
Short-lived,LBB,-0.328561981,-0.289065225,High,M,High CV*Equilibrium
Short-lived,LBB,0.087595836,-0.588709742,High,M,High CV*Equilibrium
Short-lived,LBB,-0.708528179,0.070371392,High,M,High CV*Equilibrium
Short-lived,LBB,0.623698657,-0.91270213,High,M,High CV*Equilibrium
Short-lived,LBB,0.076949432,-0.583768259,High,M,High CV*Equilibrium
Short-lived,LBB,0.689932879,-0.945984469,High,M,High CV*Equilibrium
Short-lived,LBB,0.246461021,-0.689771469,High,M,High CV*Equilibrium
Short-lived,LBB,-0.307504225,-0.308915957,High,M,High CV*Equilibrium
Short-lived,LBB,0.314659139,-0.733609142,High,M,High CV*Equilibrium
Short-lived,LBB,-0.41214932,-0.218456753,High,M,High CV*Equilibrium
Short-lived,LBB,-0.525402837,-0.127396109,High,M,High CV*Equilibrium
Short-lived,LBB,0.132337943,-0.616440858,High,M,High CV*Equilibrium
Short-lived,LBB,-0.154130459,-0.445108883,High,M,High CV*Equilibrium
Short-lived,LBB,-0.007596192,-0.528573509,High,M,High CV*Equilibrium
Short-lived,LBB,0.029589941,-0.544606136,High,M,High CV*Equilibrium
Short-lived,LBB,-0.256196716,-0.352546541,High,M,High CV*Equilibrium
Short-lived,LBB,-0.235983993,-0.373195231,High,M,High CV*Equilibrium
Short-lived,LBB,-0.05916061,-0.496992232,High,M,High CV*Equilibrium
Short-lived,LBB,0.555138955,-0.872952176,High,M,High CV*Equilibrium
Short-lived,LBB,-0.631438106,-0.001959224,High,M,High CV*Equilibrium
Short-lived,LBB,0.303844161,-0.731194917,High,M,High CV*Equilibrium
Short-lived,LBB,0.163639074,-0.638814073,High,M,High CV*Equilibrium
Short-lived,LBB,0.516539391,-0.851123049,High,M,High CV*Equilibrium
Short-lived,LBB,-0.131439649,-0.443328614,High,M,High CV*Equilibrium
Short-lived,LBB,0.188968597,-0.656913016,High,M,High CV*Equilibrium
Short-lived,LBB,0.115615746,-0.603650247,High,M,High CV*Equilibrium
Short-lived,LBB,-0.236021078,-0.366646047,High,M,High CV*Equilibrium
Short-lived,LBB,0.56114275,-0.876637263,High,M,High CV*Equilibrium
Short-lived,LBB,0.534910184,-0.86224212,High,M,High CV*Equilibrium
Short-lived,LBB,0.370538048,-0.76888615,High,M,High CV*Equilibrium
Short-lived,LBB,0.637749517,-0.918459932,High,M,High CV*Equilibrium
Short-lived,LBB,0.279065093,-0.713162253,High,M,High CV*Equilibrium
Short-lived,LBB,-0.547977685,-0.088125466,High,M,High CV*Equilibrium
Short-lived,LBB,-0.245257062,-0.36142578,High,M,High CV*Equilibrium
Short-lived,LBB,-0.508266268,-0.138310563,High,M,High CV*Equilibrium
Short-lived,LBB,-0.186486258,-0.411652217,High,M,High CV*Equilibrium
Short-lived,LBB,0.359713048,-0.801290583,High,K,High CV*Equilibrium
Short-lived,LBB,-0.086275014,-0.441218785,High,K,High CV*Equilibrium
Short-lived,LBB,0.528028782,-0.892428645,High,K,High CV*Equilibrium
Short-lived,LBB,-0.465860064,0.235391774,High,K,High CV*Equilibrium
Short-lived,LBB,-0.118207037,-0.4104334,High,K,High CV*Equilibrium
Short-lived,LBB,0.522525702,-0.891052785,High,K,High CV*Equilibrium
Short-lived,LBB,-0.159909537,-0.346977942,High,K,High CV*Equilibrium
Short-lived,LBB,-0.252031112,-0.21713846,High,K,High CV*Equilibrium
Short-lived,LBB,-0.181006977,-0.316787893,High,K,High CV*Equilibrium
Short-lived,LBB,0.172006277,-0.678979131,High,K,High CV*Equilibrium
Short-lived,LBB,-0.454007539,0.185392425,High,K,High CV*Equilibrium
Short-lived,LBB,-0.160050634,-0.346425532,High,K,High CV*Equilibrium
Short-lived,LBB,0.390733914,-0.820162219,High,K,High CV*Equilibrium
Short-lived,LBB,0.753353002,-0.992569798,High,K,High CV*Equilibrium
Short-lived,LBB,-0.351472303,-0.04639437,High,K,High CV*Equilibrium
Short-lived,LBB,0.018226027,-0.548753128,High,K,High CV*Equilibrium
Short-lived,LBB,0.020168419,-0.545938581,High,K,High CV*Equilibrium
Short-lived,LBB,-0.306375109,-0.12881372,High,K,High CV*Equilibrium
Short-lived,LBB,-0.293153944,-0.14463962,High,K,High CV*Equilibrium
Short-lived,LBB,-0.202036485,-0.296092131,High,K,High CV*Equilibrium
Short-lived,LBB,-0.318397534,-0.111999237,High,K,High CV*Equilibrium
Short-lived,LBB,-0.258516717,-0.209824194,High,K,High CV*Equilibrium
Short-lived,LBB,-0.03210484,-0.500101169,High,K,High CV*Equilibrium
Short-lived,LBB,0.744259762,-0.989043558,High,K,High CV*Equilibrium
Short-lived,LBB,-0.210901779,-0.287173688,High,K,High CV*Equilibrium
Short-lived,LBB,0.025895501,-0.55510262,High,K,High CV*Equilibrium
Short-lived,LBB,0.083937921,-0.607131543,High,K,High CV*Equilibrium
Short-lived,LBB,0.710087173,-0.975415767,High,K,High CV*Equilibrium
Short-lived,LBB,0.28075707,-0.755328974,High,K,High CV*Equilibrium
Short-lived,LBB,0.766743214,-0.998185175,High,K,High CV*Equilibrium
Short-lived,LBB,-0.421506341,0.119085993,High,K,High CV*Equilibrium
Short-lived,LBB,0.04547701,-0.574132385,High,K,High CV*Equilibrium
Short-lived,LBB,-0.159775699,-0.359391772,High,K,High CV*Equilibrium
Short-lived,LBB,0.017996086,-0.546703884,High,K,High CV*Equilibrium
Short-lived,LBB,0.701651535,-0.971981298,High,K,High CV*Equilibrium
Short-lived,LBB,0.237408963,-0.726799301,High,K,High CV*Equilibrium
Short-lived,LBB,0.213202744,-0.706876898,High,K,High CV*Equilibrium
Short-lived,LBB,0.030620094,-0.558511258,High,K,High CV*Equilibrium
Short-lived,LBB,-0.356219623,-0.042799163,High,K,High CV*Equilibrium
Short-lived,LBB,-0.258258439,-0.210996106,High,K,High CV*Equilibrium
Short-lived,LBB,0.08521932,-0.609878973,High,K,High CV*Equilibrium
Short-lived,LBB,0.157438933,-0.666024822,High,K,High CV*Equilibrium
Short-lived,LBB,-0.247970721,-0.221467902,High,K,High CV*Equilibrium
Short-lived,LBB,-0.196194944,-0.294615842,High,K,High CV*Equilibrium
Short-lived,LBB,0.418333498,-0.836940268,High,K,High CV*Equilibrium
Short-lived,LBB,0.438355138,-0.847397756,High,K,High CV*Equilibrium
Short-lived,LBB,-0.159787655,-0.357923508,High,K,High CV*Equilibrium
Short-lived,LBB,-0.275506689,-0.175399274,High,K,High CV*Equilibrium
Short-lived,LBB,0.061406108,-0.593551021,High,K,High CV*Equilibrium
Short-lived,LBB,-0.293975057,-0.15533087,High,K,High CV*Equilibrium
Short-lived,LBB,-0.161888916,-0.35210319,High,K,High CV*Equilibrium
Short-lived,LBB,0.359743154,-0.801899059,High,K,High CV*Equilibrium
Short-lived,LBB,-0.136786461,-0.382379434,High,K,High CV*Equilibrium
Short-lived,LBB,0.657544827,-0.954065823,High,K,High CV*Equilibrium
Short-lived,LBB,-0.433201909,0.140174748,High,K,High CV*Equilibrium
